358,"Ogledalo 4mm sa Fazetom 10mm.","M2",0.8000000000,2731.2500000000,2185.00,20.00,437.00,2622.00,147
359,"Staklo Griz 4mm rezano na meru.","M2",0.6700000000,1325.0000000000,887.75,20.00,177.55,1065.30,147
360,"Termoizolaciono staklo Solar 4mm+18+Flot 4mm","M2",11.1800000000,2478.0000000000,27704.05,20.00,5540.81,33244.86,148
361,"Termoizolaciono staklo Griz 4mm+18+Flot 4mm.","M2",0.4000000000,2242.0000000000,896.80,20.00,179.36,1076.16,148
362,"Ogledalo 4mm sa fazetom do 20mm.","M2",1.6200000000,3086.4200000000,5000.00,20.00,1000.00,6000.00,149
363,"Ogledalo 3mm sa fazetom 10mm.","M2",0.5400000000,2341.6700000000,1264.50,20.00,252.90,1517.40,149
364,"Staklo flot 6mm KP.","M2",1.1800000000,1625.0000000000,1917.50,20.00,383.50,2301.00,149
365,"Usluga bušenja rupa na staklu prečnika 35mm.","PCS",8.0000000000,180.0000000000,1440.00,20.00,288.00,1728.00,149
366,"Usluga bušenja rupa na staklu prečnika 6mm.","PCS",4.0000000000,67.5000000000,270.00,20.00,54.00,324.00,149
367,"Pampleks staklo 3.3.1mm","M2",1.1700000000,3833.3300000000,4485.00,20.00,897.00,5382.00,150
368,"Staklo 3mm, reparacija.","M2",0.4900000000,1680.0000000000,823.20,20.00,164.64,987.84,151
369,"Staklo katedral 4mm reparacija.","M2",0.4900000000,2590.0000000000,1269.10,20.00,253.82,1522.92,151
370,"Ogledalo 4mm sa fazetom 25mm.","M2",0.6700000000,4022.6900000000,2695.20,20.00,539.04,3234.24,152
371,"Ram serije 15.","M",4.0000000000,1498.0000000000,5992.00,20.00,1198.40,7190.40,152
372,"Termoizolaciono staklo Elow 4mm+L+Flot 4mm.","M2",1.8500000000,2124.0000000000,3929.40,20.00,785.88,4715.28,153
373,"Troslojno termoizolaciono staklo Flot 4mm+16+Satinirano 4mm+16+Flot 4mm","M2",0.4700000000,4720.0000000000,2218.40,20.00,443.68,2662.08,154
374,"Termoizolaciono staklo Solar 4mm+18+Flot 4mm","M2",9.6400000000,2478.0000000000,23887.92,20.00,4777.58,28665.50,154
375,"Parsol bronza 4mm rezano na meru.","M2",1.1000000000,1875.0000000000,2062.50,20.00,412.50,2475.00,155
376,"Usluga izrade fazete do 10mm na staklu.","M",20.7000000000,120.0000000000,2484.00,20.00,496.80,2980.80,155
377,"Usluga izrade fazete do 15mm na staklu.","M",4.1000000000,150.0000000000,615.00,20.00,123.00,738.00,155
378,"Usluga izrade fazete do 20mm na staklu.","M",5.8700000000,180.0000000000,1056.60,20.00,211.32,1267.92,155
379,"Termoizolaciono staklo Solar 4mm+16+Flot 4mm","M2",1.0600000000,2478.0200000000,2626.70,20.00,525.34,3152.04,156
380,"Termoizolaciono staklo Solar 4mm+18+Flot 4mm","M2",5.1000000000,2478.0000000000,12637.80,20.00,2527.56,15165.36,157
381,"Ogledalo Bronza 4mm.","M2",58.6800000000,5400.0000000000,316872.00,20.00,63374.40,380246.40,158
382,"Usluga izrade fazete do 15mm na ogledalu.","M",426.9900000000,208.3300000000,88954.83,20.00,17790.97,106745.80,158
386,"Termoizolaciono staklo Flot 4mm+L+Griz 4mm.","M2",3.9200000000,2242.0000000000,8788.64,20.00,1757.73,10546.37,161
387,"Uramljivanje u ram serije 03.","M",2.0400000000,491.6700000000,1003.00,20.00,200.60,1203.60,162
388,"Uramljivanje u ram serije 13.","M",2.3600000000,541.6700000000,1278.34,20.00,255.67,1534.01,162
389,"Izrada staklenih nosača za evakuacione planove, dimenzije 300x420mm.","PCS",3.0000000000,900.0000000000,2700.00,20.00,540.00,3240.00,163
390,"Staklo flot 6mm.","M2",0.6500000000,1800.0000000000,1170.00,20.00,234.00,1404.00,164
391,"Usluga KP obarde stakla debljine do 6mm.","M",4.4100000000,100.0000000000,441.00,20.00,88.20,529.20,164
392,"Usluga Peskarenja stakla sa zaštitnom emulzijom.","M2",0.6500000000,1050.0000000000,682.50,20.00,136.50,819.00,164
393,"Usluga bušenja rupa na staklu prečnika 35mm.","PCS",4.0000000000,200.0000000000,800.00,20.00,160.00,960.00,164
